channel_id,label,trigger,identity_review_status,event_type,source_title,review_reason,audit_disposition,audit_note
UCfPtDFCs4PzDU_hy0usORnw,Reva Regalia『AST』,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,【🦋LIVE DEBUT】โรงละครหุ่นเชิดแห่งคฤหาสน์เรกาเลียเปิดแล้วค่ะ 『REVA REGALIA』#WIRTANENAST #ASTProject,Reva named puppet-theatre persona debut and own context.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UCHNUhekh0u_TuF6vZ5S5j8w,MONGON. Association From 48 Dimension World (V.2),organizational_or_channel-type token in label/title,SUPPORTED,identity_start,"🔴【Debut VTuber】| MONGON. ผู้มาจากมิติที่48 เพื่อมอบความ""กาว""ให้กับทุกคน #mongonlive",Mongon virtual debut identifies owner profile; model and rigging are separately credited.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UCHUHJ0riRQWzPWdAchy6D4w,Besicka「ALF」,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,"【DEBUT stream】 ""เรื่องราวของฉันน่ะเธออยากมารวมเดินทางไปด้วยกันไหม"" - Besicka || Alorafia Academy",Besicka named own profile and debut introduction.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UCijixp2pBTNrgkF5pDw0wPg,Neris Ch.,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,【🔴DEBUT 】ได้เวลากัดเปลือกไข่ออกมาแล้วครับ【Neris | Chark Project】,Neris named own persona separately from listed colleagues.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UCL7lolCifod5V21pPzR3K-w,Magnum Ch.【ARP】,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,「🔴LIVE DEBUT」อย่าเรียกว่าไอติม เดี๋ยวตบด้วยสันปืน「Magnum」 #ARProject,Magnum named persona and debut context; no prior continuity inferred.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UCNLRchQpCrJaUvYo731Y_vg,Callidora Ch.【VJN】,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,【🔴LIVE DEBUT】Callidora Angeni | V-Janai Project,Callidora own profile distinguished from LilInk schedule in same description.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UCoekpBaMC20hpELSXrqRTzg,Fury.D [FRG],organizational_or_channel-type token in label/title,SUPPORTED,identity_start,[🔴 LIVE Debut ] เจ้าเต่าฟิว!!ปรากฏกายยยยยย | Fury.D [TRIGONAL VProject ],Fury named debut links own virtual profile; card-game content is not separate identity evidence.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UCPb3O6Vqyk7b5b1cpYXGxhQ,Moonique Ch.,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,【DEBUT STREAM】นัดพบแพทย์ครั้งที่ 1 【Moonique | FLORA Project】,Moonique own profile distinct from project account.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UCPfqcgrqpaSMqxezIqf7DuQ,LilInk【VJN】,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,【🔴LIVE DEBUT】LilInk Alone Werewolf | V-Janai Project,LilInk own persona distinguished from other member profiles.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UCqDHOqlcApniKvQAPW2LlMQ,Herah Castor | AcastledProject,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,【DEBUT STREAM】“มีเพียงผู้ถูกเลือก ที่ได้ครอบครองแสงสว่างของกลุ่มดาว”【Herah Castor | AcastledProject】,Herah named debut with own virtual context.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UCqq085DI0tDBblF3Q1nsdcg,Thuay_Fu Wolfcute【Mystery】,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,[ Debut steam ] หมาป่าสวนหลังบ้านมาแล้วค้าบ ^ↀᴥↀ^,ThuayFu named debut links own VTuber profile.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UCQs4BC3S0KSw7i0ggHXn8TA,Quentin Ch.【ARP】,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,【🔴LIVE DEBUT】สรุปว่าวันนี้ อยากให้ผมเสกอะไรเป็นพิเศษรึเปล่าครับ?【Quentin】#arproject,Quentin named debut with own tags and official project context.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UCS9vgAEQSQDhgTRIskKA2tA,Ark Ch.【ARP】,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,【🔴LIVE DEBUT 】 ถ้าอยากให้ไปรับก็เรียกดังๆสิครับ【 Ark 】#arproject,Ark same named persona tags and official project source.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UCTE0_50-t5vJqrC832LV2eQ,Laven Ch. Genesis Project,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,【Debut Stream】- Laven 'Genesis Project',Laven named virtual debut self-context.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UCTRQ7X-nxix3gjjXUb6ylvA,Ginnique Ch.【ARP】,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,【🔴LIVE DEBUT】สวัสดีฉันชื่อจินนิค【Ginnique】#arproject,Ginnique named introduction with own tags and official project context.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UCuZ1ajvlGFUMCHZAPdetKHw,Dacapo Ch.【ARP】,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,【🔴LIVE DEBUT】หัวหน้าแก๊งลูกนกมาเยือน จุ๊เม๊าะ【Dacapo】#arproject,Dacapo debut source has same named persona tags and official project reference.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
UCXkoAHy8rg9tryYsD61IXOg,Morr Ch.【ARP】,organizational_or_channel-type token in label/title,SUPPORTED,identity_start,【🔴LIVE DEBUT】สองมือล้วงเท้า สองกระเป๋าก้าวเข้ามา【Morr】#arproject,Morr named debut with own tags and official project context.,RETAIN_STRICT_PENDING_SPOT_CHECK,Current reviewed evidence attributes the event to the uploader/persona; lexical flag alone is not exclusion evidence.
