channel_id,label,old_status,new_status,entity_type,presentation_format,roles,source_urls,evidence_summary,decision_reason,conflict_flag,reviewer,reviewed_at
UCY5HIZ97IaqeUGCQCh5yDpA,Clairederier,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCY5HIZ97IaqeUGCQCh5yDpA/about"", ""https://www.youtube.com/watch?v=CLtHAwWB54A""]","About explicitly calls Clairederier a virtual pug. The own debut description links Claire profiles and separately credits model, rig and character design.",Direct channel self-description establishes virtual identity; production credits identify contributors to this performer.,False,Codex public channel evidence review,2026-09-19T10:36:30.965259+00:00
UCDVOWB_Fi5jmi6o-x5_uV8g,Deliva Kaga ch.,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCDVOWB_Fi5jmi6o-x5_uV8g/about"", ""https://www.youtube.com/watch?v=lU-FcAam0o8"", ""https://www.youtube.com/watch?v=BUTMDSa844Q""]",Deliva Kaga About introduces the individual IT-support persona. Two own freetalk uploads consistently link Deliva profiles and identify the channel with VTuber tags.,Repeated individual performer presentation; linked Vbuddii colleagues are not conflated with this channel.,False,Codex public channel evidence review,2026-09-19T10:36:30.965262+00:00
UC6Zrmc0VG4gqQJ4jS58iKGw,Ezra Ch.,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,Live2D,"[""virtual_performer""]","[""https://www.youtube.com/channel/UC6Zrmc0VG4gqQJ4jS58iKGw/about"", ""https://www.youtube.com/watch?v=zPI7It5-mYU"", ""https://www.youtube.com/watch?v=yGCNs7EUPl8""]","Ezra About describes the Vgamers persona and credits its art and L2D parents. Two own streams repeat Ezra identity and VTuber presentation, with collaborators separately named.","Own-persona medium and repeated uploader presentation support inclusion, independently of colleague credits.",False,Codex public channel evidence review,2026-09-19T10:36:30.965265+00:00
UCCTu-nYFSFerCTEAQLwyRgA,Fo_Kuro「フォー黒」,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer"", ""artist""]","[""https://www.youtube.com/channel/UCCTu-nYFSFerCTEAQLwyRgA/about"", ""https://www.youtube.com/watch?v=8plwOIjtjwE"", ""https://www.youtube.com/watch?v=bweBOoxCYt4"", ""https://www.youtube.com/watch?v=KSqlxq7_Au0""]","About identifies Fo Kuro as a drawing/gaming creator. Multiple own live descriptions link FoKuroVtuber, use Fo_live and VTuber presentation, and distinguish the performer from BGM credits.",Virtual performance coexists with the documented art role; not an artist-only exclusion.,False,Codex public channel evidence review,2026-09-19T10:36:30.965268+00:00
UCmAObfjMAwE-nqr9D0ISAFw,Fufu15 Ch. 〖ST〗,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCmAObfjMAwE-nqr9D0ISAFw/about"", ""https://www.youtube.com/watch?v=7cHyM3b9VSg"", ""https://www.youtube.com/watch?v=7AEttj1OVGM"", ""https://www.youtube.com/watch?v=IcpNtxyyrww""]",About introduces Fufu as a blue lion. Own debut lists FuFu15 with this exact channel ID separately from the group account and other members. Two later own streams consistently present Fufu with VTuber tags.,"Exact uploader/member mapping and repeated own-persona presentation identify an individual, not a shared project account.",False,Codex public channel evidence review,2026-09-19T10:36:30.965270+00:00
UCjgiHXaBeeuWfxZpNMCJioQ,Galactic Lunarr,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,animated_2D_persona,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCjgiHXaBeeuWfxZpNMCJioQ/about"", ""https://www.youtube.com/watch?v=11w1xamEkSM"", ""https://www.youtube.com/watch?v=CVafvNfDPW4"", ""https://www.youtube.com/watch?v=AfJ7VWL5GgA""]","Browser playback at approximately 15:00 of the channel-owned landing stream shows the pink-haired rabbit avatar as the speaking host, with Galactic Lunarr and Lunarr_VT on the overlay. The welcome-room description introduces the alien rabbit persona and links its schedule.",Direct animated-persona presentation owned by the matching uploader; not a cover song or profile image inference.,False,Codex public channel evidence review,2026-09-19T10:36:30.965273+00:00
UCVlgCh9B_0PI7COJ2tJ7hIw,Heiman Ch.,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCVlgCh9B_0PI7COJ2tJ7hIw/about"", ""https://www.youtube.com/watch?v=KYKmaoYnAWE"", ""https://www.youtube.com/watch?v=9R0DsM6fjH4""]","About explicitly assigns this account to heiman_vtuber. The uploader-owned VTuber ON STAGE performance names Heiman, and own freetalk uses matching profiles and distinct rigger credits.",Channel ownership and named virtual performance establish the individual performer beyond production-credit evidence.,False,Codex public channel evidence review,2026-09-19T10:36:30.965275+00:00
UCutz6S1DcEHPnEb_r9ztkzg,Hinabe HongFei Ch. Pixela Project,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCutz6S1DcEHPnEb_r9ztkzg/about"", ""https://www.youtube.com/watch?v=yQbC4m31VE4"", ""https://www.youtube.com/watch?v=bWIHDDizu3U""]",About introduces Hinabe HongFei personally. Two own streams consistently identify HongFei with Pixela/VTuber presentation and HongFei-specific profiles and tags.,The uploader is the individual HongFei persona; Pixela suffix and stream rules do not imply an agency host channel.,False,Codex public channel evidence review,2026-09-19T10:36:30.965277+00:00
UCdPOgLoE_grESHHrpHDNsEg,Idary tailor,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,animated_2D_persona,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCdPOgLoE_grESHHrpHDNsEg/about"", ""https://www.youtube.com/watch?v=ORw8td4UgAY""]","The own video title explicitly says the same Idary now has a model. Browser playback near 15:00 shows the red-haired, glasses-wearing animated host presenting personal likes/dislikes on this Idary channel.",Observed own-model performance resolves virtual medium; no reliance on the word debut or revision of the event date.,False,Codex public channel evidence review,2026-09-19T10:36:30.965280+00:00
UCG1Dk3994tPaCIBJp8Cu2pg,Kamilla Lich,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCG1Dk3994tPaCIBJp8Cu2pg/about"", ""https://www.youtube.com/watch?v=bYfKPTihTgE"", ""https://www.youtube.com/watch?v=I5x8JbOh8Kk"", ""https://www.youtube.com/watch?v=Kp4N2aSsm2E""]",An own stream title introduces a reworked model; its description links Kamilla Lich profiles and identifies VTuber activity. Two other own game streams repeat the same presentation.,Owned model presentation and repeated self-identification establish virtual activity beyond generic gaming.,False,Codex public channel evidence review,2026-09-19T10:36:30.965283+00:00
UCZmQjdEL_PAGWvFlAm4hQMg,Karin Ch. 躑躅かりん,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCZmQjdEL_PAGWvFlAm4hQMg/about"", ""https://www.youtube.com/watch?v=ofdHGFOypsc"", ""https://www.youtube.com/watch?v=S42PkD5u3sY"", ""https://www.youtube.com/watch?v=_jIJr_iqSlA""]",Karin uploads a self-named VTuber highlight on this same channel. Its own final karaoke and graduation streams retain the Karin-specific self/profile context.,"The uploader and named virtual performer are Karin; this is an own-channel highlight alongside own streams, not an unrelated clip host.",False,Codex public channel evidence review,2026-09-19T10:36:30.965285+00:00
UC5JlD3YtvbCaAeU3TWSpW6A,Kisa l FoxRabbitC4T,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,Live2D,"[""virtual_performer""]","[""https://www.youtube.com/watch?v=KMn-nOcsjMY"", ""https://www.youtube.com/watch?v=GazyPIYbWrs"", ""https://www.youtube.com/watch?v=rjRgk3agV3E""]","Own introduction contains personal introduction, goals and Mama/Live2D/Manager chapters. Two later own streams consistently use FoxRabbitC4T identity, matching profile and VTuber presentation. About extraction failed once, but three watch-page uploader IDs match the queue.",Own-persona model context plus repeated streams confirms Kisa; a failed About fetch is not evidence of exclusion.,False,Codex public channel evidence review,2026-09-19T10:36:30.965288+00:00
UCeoR2ozI_rHNtMZyWyYWI6Q,Koru Ch.,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer"", ""artist"", ""singer""]","[""https://www.youtube.com/channel/UCeoR2ozI_rHNtMZyWyYWI6Q/about""]",About identifies Masukaya Koruto and explicitly describes being a virtual creator focused on singing and drawing.,Affirmative own-channel virtual self-description with coexisting singer and artist roles.,False,Codex public channel evidence review,2026-09-19T10:36:30.965290+00:00
UCMUtWzsjAQJgp6UlkbVSo1w,Laguna JuJu Ch. Pixela Project,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCMUtWzsjAQJgp6UlkbVSo1w/about"", ""https://www.youtube.com/watch?v=CYNHwyotJe4"", ""https://www.youtube.com/watch?v=X8c6cXfL8j4""]","About speaks as Laguna JuJu. Own final and group-chat streams use JuJu-specific VTuber presentation and profiles, separately naming guest members.",Individual JuJu channel; affiliation and guests do not make it the project account.,False,Codex public channel evidence review,2026-09-19T10:36:30.965293+00:00
UCCptqrhEdtJGBer1qWWRLnA,Lawiz Ch.,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCCptqrhEdtJGBer1qWWRLnA/about""]",About explicitly introduces Lawiz Jackalope as a Thai VTuber and describes the horned-rabbit magician persona.,Direct channel-owned virtual-creator self-description.,False,Codex public channel evidence review,2026-09-19T10:36:30.965294+00:00
UCQMHAPgxhO634HZIJraHPTA,Linden Emilio,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCQMHAPgxhO634HZIJraHPTA/about"", ""https://www.youtube.com/watch?v=tZvk7OJYsT4"", ""https://www.youtube.com/watch?v=ak0cAhmIVrc"", ""https://www.youtube.com/watch?v=X6ras7cUFBg""]","The uploader-owned VTuber Q&A self-introduction links Linden-specific profiles, while listing Mira and OZiK separately. Own final and gaming streams repeat Linden virtual presentation.",Self-introduction confirms this individual performer; agency promotion videos do not erase own-persona activity.,False,Codex public channel evidence review,2026-09-19T10:36:30.965300+00:00
UCNW0brB5G5GcBDXuJ1iDglw,Megzis Ch.,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,animated_2D_persona,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCNW0brB5G5GcBDXuJ1iDglw/about"", ""https://www.youtube.com/watch?v=AdtdzfGGwc8""]",About identifies Megzis Lurnyl as a megalodon persona. Browser playback around 15:00 of the owned introduction shows an animated host alongside a Megzis Lurnyl profile slide specifying the same name and megalodon race.,"Direct visual evidence links the virtual performer to this uploader; PRIME UNIT suffix is affiliation, not a shared host identity.",False,Codex public channel evidence review,2026-09-19T10:36:30.965302+00:00
UCpNkVsMlsJRF792H-1_1vPA,Melita X Ch. Pixela Project,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCpNkVsMlsJRF792H-1_1vPA/about"", ""https://www.youtube.com/watch?v=OnUekWhzPBA"", ""https://www.youtube.com/watch?v=MaDQ4IpRces""]",About introduces the Melita spider-girl persona. Own graduation and karaoke uploads consistently use Melita-specific VTuber presentation and matching profiles.,Individual Melita channel; Pixela suffix does not identify a multi-persona project host.,False,Codex public channel evidence review,2026-09-19T10:36:30.965304+00:00
UCgmytgwJVDe74ewiHklGcBA,Minato Hatsuki【JVP】,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer"", ""singer""]","[""https://www.youtube.com/channel/UCgmytgwJVDe74ewiHklGcBA/about""]",About explicitly identifies the moon-wolf persona as a gaming and singing VTuber.,Direct channel-level performer self-description.,False,Codex public channel evidence review,2026-09-19T10:36:30.965306+00:00
UCbfARUSxU4X2o5_PwjRXezw,Mira Pilula,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCbfARUSxU4X2o5_PwjRXezw/about"", ""https://www.youtube.com/watch?v=qlhxJr1fJFc"", ""https://www.youtube.com/watch?v=GC9jHjAL5Z8""]","Two own live descriptions consistently identify Mira Pilula through own donation/profile links, Mira-specific stream rules and VTuber presentation, separately listing other Majinova members.",Repeated owned individual-persona presentation; colleagues are not merged with the uploader.,False,Codex public channel evidence review,2026-09-19T10:36:30.965307+00:00
UCwv0DTchQQhKo7-C0VPu9yA,Nora Vanadiz 「univirsual」,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCwv0DTchQQhKo7-C0VPu9yA/about""]","About introduces Nora Vanadiz and explicitly describes being an independent virtual creator in a group, clarifying that it is not an agency.",Direct individual virtual-creator self-description; group label is not a project-host exclusion.,False,Codex public channel evidence review,2026-09-19T10:36:30.965309+00:00
UCvxN2R4-6hqHGYX-AL8Q7Qw,Owen Zwei Ch.,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCvxN2R4-6hqHGYX-AL8Q7Qw/about"", ""https://www.youtube.com/watch?v=41-UDIvvng8"", ""https://www.youtube.com/watch?v=KcDjpV-8RaM""]",About introduces the Owen Zwei half-elf persona. Own final and game streams consistently use VTuber presentation and the same individual context.,Repeated own-persona activity establishes the performer separately from the Akeru Dachi project.,False,Codex public channel evidence review,2026-09-19T10:36:30.965311+00:00
UCFkljb428Byj00FxL_kwYyA,OZiK Ch.,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCFkljb428Byj00FxL_kwYyA/about"", ""https://www.youtube.com/watch?v=icH3cX5eR8M"", ""https://www.youtube.com/watch?v=nyykxWC3cXI"", ""https://www.youtube.com/watch?v=Xli_XTGpDIs""]","Two own streams consistently identify OZiK with personal stream tags, profile/donation context and VTuber presentation. The own introduction contains model-related chapters.","Repeated own-performer presentation and introduction context, not credits for another VTuber.",False,Codex public channel evidence review,2026-09-19T10:36:30.965313+00:00
UCXddo8vgPHBsEkDMqRwcYSQ,"Peko the Witch ★ แม่มด""พีโกะ""",PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer"", ""artist"", ""comic_artist"", ""cosplayer""]","[""https://www.youtube.com/channel/UCXddo8vgPHBsEkDMqRwcYSQ/about""]","About explicitly identifies Peko as a VTuber who draws, creates comics, and works with fashion/cosplay.",Multiple creative roles coexist with explicit virtual-persona activity; not an artist-only exclusion.,False,Codex public channel evidence review,2026-09-19T10:36:30.965315+00:00
UCpIlOwUGihEx-Qzie2JiMWw,Retsu_Red,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCpIlOwUGihEx-Qzie2JiMWw/about"", ""https://www.youtube.com/watch?v=rvypdEOyA0U"", ""https://www.youtube.com/watch?v=3MLYsW_eRCo""]",Owned PV is explicitly titled PV Vtuber and says its story is fictional character lore. Own streams consistently use Retsu_Red and VTuber presentation.,Own fictional-persona PV plus performer streams confirms virtual eligibility; no separate persona/reincarnation is merged.,False,Codex public channel evidence review,2026-09-19T10:36:30.965317+00:00
UC89-GlmTgO8a9QyE0QL0q1w,Riko Phokaia,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer"", ""artist""]","[""https://www.youtube.com/channel/UC89-GlmTgO8a9QyE0QL0q1w/about"", ""https://www.youtube.com/watch?v=F970fz-xW90"", ""https://www.youtube.com/watch?v=Eru0jFDso4c""]","Two own gaming/drawing streams consistently identify Riko Phokaia with the individual profile, Riko-specific tags and VTuber presentation, while listing other Donburi members separately.",Repeated own-persona presentation with uploader/member separation establishes the individual virtual performer.,False,Codex public channel evidence review,2026-09-19T10:36:30.965319+00:00
UCRjdIz5ngcJVDZ-bjs2mEzg,shiorichan,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,3D_and_unspecified_model,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCRjdIz5ngcJVDZ-bjs2mEzg/about"", ""https://www.youtube.com/watch?v=BCpV3vfJhUE"", ""https://www.youtube.com/watch?v=2HlwtWuq4zU""]","The same uploader has explicit 3D MODEL DEBUT and 3.0 MODEL DEBUT streams with Shiori tags, own support links and shiorichanvt profile.",Uploader-owned model introductions establish virtual presentation beyond music covers or the original debut title.,False,Codex public channel evidence review,2026-09-19T10:36:30.965321+00:00
UCkF8r4_wvBnMm2mrdvcxU_g,Sunfish Ch.,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCkF8r4_wvBnMm2mrdvcxU_g/about"", ""https://www.youtube.com/watch?v=0E912brB-V4"", ""https://www.youtube.com/watch?v=MqO6yz34-U4"", ""https://www.youtube.com/watch?v=Y70bB7mLlEs""]",An own discussion describes voting on sketches for a future new model. Separate own game/talk streams repeat Sunfish/Mola identity and VTuber presentation.,Own model plans plus repeated performer presentation establish virtual activity; not merely discussion of other VTubers.,False,Codex public channel evidence review,2026-09-19T10:36:30.965323+00:00
UClCLRJrlg3F9FOPnUfItZSw,Tatsuki Ch.,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UClCLRJrlg3F9FOPnUfItZSw/about"", ""https://www.youtube.com/watch?v=wItNeNJBVuY"", ""https://www.youtube.com/watch?v=ZcELq9ZvLU8""]","About identifies the alien-frog persona. The uploader-owned VTuber Q&A explicitly introduces Tatsuki, and own streams retain matching Tatsuki profiles.",Explicit own virtual self-introduction establishes the uploader as the named performer.,False,Codex public channel evidence review,2026-09-19T10:36:30.965325+00:00
UCtAwmDprhStjmfRwyF3znsQ,Warene Ch. [ヴァリーネー],PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer"", ""singer""]","[""https://www.youtube.com/channel/UCtAwmDprhStjmfRwyF3znsQ/about"", ""https://www.youtube.com/watch?v=1s-2YxbVN0Y""]",About explicitly identifies Warene as a VTuber siren from Atlantis. The owned introduction includes a model showcase followed by a mini-concert.,Direct self-description plus owned model presentation confirms virtual performer activity.,False,Codex public channel evidence review,2026-09-19T10:36:30.965327+00:00
UCTtgiI6vO_zxlcOBLd3P7Jg,Xro Ch,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCTtgiI6vO_zxlcOBLd3P7Jg/about"", ""https://www.youtube.com/watch?v=8HzSs0cytnA"", ""https://www.youtube.com/watch?v=02j0ZRqr8ro"", ""https://www.youtube.com/watch?v=_Easyk4WjP4""]",Two own game streams consistently identify Xro through own support/profile links and repeated VTuber/Thai virtual-creator presentation. The original introduction links the same Xuri_Xro profile.,Consistent self-presentation across distinct owned uploads establishes the individual performer beyond gaming alone.,False,Codex public channel evidence review,2026-09-19T10:36:30.965329+00:00
UCyv2oEiAXQp9xLlBr1Tn6Vg,Yokina Saori,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,Live2D,"[""virtual_performer""]","[""https://www.youtube.com/channel/UCyv2oEiAXQp9xLlBr1Tn6Vg/about"", ""https://www.youtube.com/watch?v=wCKgb5On7KM"", ""https://www.youtube.com/watch?v=2kB2wcy3tMs""]",Owned teaser explicitly names Yokina Saori as the VTuber being reintroduced and credits model design and L2D rig separately. Later own streams retain Yokina identity and VTuber presentation.,"Uploader is the named model performer, not the credited model supplier.",False,Codex public channel evidence review,2026-09-19T10:36:30.965331+00:00
UCOuX_UFS7o1y-JJN7cmHl1A,YotChi,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer"", ""artist""]","[""https://www.youtube.com/channel/UCOuX_UFS7o1y-JJN7cmHl1A/about""]","About explicitly identifies Virtual YouTuber Yotchi, with drawing, chat and game content.",Direct own-channel virtual-creator self-description with an additional art role.,False,Codex public channel evidence review,2026-09-19T10:36:30.965333+00:00
UChrGwUGm1puXFhoC0lC7LFQ,Yukino Taifu Ch. ,PROVISIONAL_VIRTUAL,STRICT_VIRTUAL,virtual_creator,virtual_persona_unspecified,"[""virtual_performer""]","[""https://www.youtube.com/channel/UChrGwUGm1puXFhoC0lC7LFQ/about"", ""https://www.youtube.com/watch?v=dRbMn1FVWcY"", ""https://www.youtube.com/watch?v=jcTVYI4zmik"", ""https://www.youtube.com/watch?v=rSgvaxtX1zw""]","Owned introduction welcomes viewers as Yukino the snow spirit; two other own game streams retain YukinoTaifu identity, matching profiles and repeated VTuber presentation.","Consistent own-persona self-presentation across uploads, rather than a single debut hashtag.",False,Codex public channel evidence review,2026-09-19T10:36:30.965336+00:00
